ip.src,ip.dst,ip.len,ip.flags.df,ip.flags.mf,ip.ttl,ip.proto,tcp.window_size,tcp.ack,tcp.seq,tcp.len,tcp.stream,tcp.urgent_pointer,tcp.flags.urg,tcp.flags.ack,tcp.flags.push,tcp.flags.reset,tcp.flags.syn,tcp.flags.fin,frame.time_relative,frame.time_delta,tcp.time_relative,tcp.time_delta
"192.168.0.5","192.168.0.11","177","1","0","128","6","65535","1","1","137","2","0","0","1","1","0","0","0","116.355983000","0.000070000","0.001621000","0.000231000"
"192.168.0.11","192.168.0.5","173","1","0","128","6","64103","138","1","133","2","0","0","1","1","0","0","0","116.358000000","0.002017000","0.003638000","0.002017000"
"192.168.0.5","192.168.0.11","180","1","0","128","6","65402","134","138","140","2","0","0","1","1","0","0","0","116.358270000","0.000270000","0.003908000","0.000270000"
"192.168.0.11","192.168.0.5","179","1","0","128","6","63963","278","134","139","2","0","0","1","1","0","0","0","116.359411000","0.001141000","0.005049000","0.001141000"
"192.168.0.5","192.168.0.11","136","1","0","128","6","65263","273","278","96","2","0","0","1","1","0","0","0","116.359658000","0.000247000","0.005296000","0.000247000"
"192.168.0.11","192.168.0.5","100","1","0","128","6","63867","374","273","60","2","0","0","1","1","0","0","0","116.360913000","0.001255000","0.006551000","0.001255000"
"192.168.0.5","192.168.0.11","122","1","0","128","6","65203","333","374","82","2","0","0","1","1","0","0","0","116.361092000","0.000179000","0.006730000","0.000179000"
"192.168.0.11","192.168.0.5","79","1","0","128","6","63785","456","333","39","2","0","0","1","1","0","0","0","116.362029000","0.000937000","0.007667000","0.000937000"
"192.168.0.5","192.168.0.11","40","1","0","128","6","65164","372","456","0","2","0","0","1","0","0","0","1","116.362201000","0.000172000","0.007839000","0.000172000"
"192.168.0.11","192.168.0.5","40","1","0","128","6","63785","457","372","0","2","0","0","1","0","0","0","1","116.363058000","0.000857000","0.008696000","0.000857000"
"192.168.0.5","192.168.0.11","40","1","0","128","6","65164","373","457","0","2","0","0","1","0","0","0","0","116.363219000","0.000161000","0.008857000","0.000161000"
,,,,,,,,,,,,,,,,,,,"116.901162000","0.537943000",,
,,,,,,,,,,,,,,,,,,,"116.901400000","0.000238000",,
,,,,,,,,,,,,,,,,,,,"116.901428000","0.000028000",,
"192.168.0.5","192.168.0.255","244","0","0","128","17",,,,,,,,,,,,,"120.761426000","3.859998000",,
"192.168.0.5","192.168.0.11","48","1","0","128","6","65535","0","0","0","3","0","0","0","0","0","1","0","127.402203000","6.640777000","0.000000000","0.000000000"
"192.168.0.11","192.168.0.5","48","1","0","128","6","64240","1","0","0","3","0","0","1","0","0","1","0","127.403182000","0.000979000","0.000979000","0.000979000"
"192.168.0.5","192.168.0.11","177","1","0","128","6","65535","1","1","137","3","0","0","1","1","0","0","0","127.403518000","0.000336000","0.001315000","0.000336000"
"192.168.0.11","192.168.0.5","173","1","0","128","6","64103","138","1","133","3","0","0","1","1","0","0","0","127.405379000","0.001861000","0.003176000","0.001861000"
"192.168.0.5","192.168.0.11","180","1","0","128","6","65402","134","138","140","3","0","0","1","1","0","0","0","127.433415000","0.028036000","0.031212000","0.028036000"
"192.168.0.11","192.168.0.5","179","1","0","128","6","63963","278","134","139","3","0","0","1","1","0","0","0","127.434641000","0.001226000","0.032438000","0.001226000"
